#year	doy	hr	Fe1p2	Fe130
1991	9	4	0.74194	4.1041
1991	9	5	0.65610	4.0885
1991	9	6	0.59770	4.0245
1991	9	7	0.53148	3.9769
1991	9	8	0.45179	3.7985
1991	9	9	0.53148	3.8401
1991	9	10	0.53148	3.9664
1991	9	11	0.53148	3.9456
1991	9	12	0.58206	3.9802
1991	9	13	0.56585	3.9776
1991	9	14	0.58206	3.9697
1991	9	15	0.62839	3.9608
1991	9	16	0.68215	4.0143
1991	9	17	0.70757	3.9878
1991	9	18	0.73078	3.9964
1991	9	19	0.75282	4.0054
1991	9	20	0.88366	4.0204
1991	9	21	0.91434	3.9920
1991	9	22	0.97081	3.9774
1991	9	23	0.94349	3.9591
1991	10	0	0.91434	3.9605
1991	10	1	0.77452	3.9427
1991	10	2	0.79449	3.8967
1991	10	3	0.70757	3.8607
1991	10	4	0.65610	3.8891
1991	10	5	0.53148	3.8918
1991	10	6	0.49415	3.9104
1991	10	7	0.45179	3.8986
1991	10	8	0.42975	3.8017
1991	10	9	0.35603	3.5035
1991	10	10	0.35603	3.5095
1991	10	11	0.40654	3.6266
1991	10	12	0.40654	3.7950
1991	10	13	0.45179	3.7807
1991	10	14	0.45179	3.7801
1991	10	15	0.56585	4.0722
1991	10	16	0.59770	3.8622
1991	10	17	0.65610	3.7730
1991	10	18	0.62839	3.7496
1991	10	19	0.62839	3.7410
1991	10	20	0.68215	3.7268
1991	10	21	0.73078	3.8114
1991	10	22	0.75282	3.7502
1991	10	23	0.70757	4.1144
1991	11	0	0.70757	4.0239
1991	11	1	0.69548	3.9182
1991	11	2	0.70757	3.9433
1991	11	3	-9999.9	-9999.9
1991	11	4	-9999.9	-9999.9
1991	11	5	-9999.9	-9999.9
1991	11	6	-9999.9	-9999.9
1991	11	7	0.45179	3.8707
1991	11	8	0.40654	3.8632
1991	11	9	0.40654	3.8488
1991	11	10	0.40654	3.7770
1991	11	11	0.35603	3.7000
1991	11	12	0.45179	3.9723
1991	11	13	0.42975	4.4604
1991	11	14	0.56585	4.6219
1991	11	15	0.59770	4.4657
1991	11	16	0.59770	4.4023
1991	11	17	0.59770	4.2693
1991	11	18	0.65610	4.2251
1991	11	19	0.70757	4.1957
1991	11	20	0.73078	4.1715
1991	11	21	0.70757	4.0932
1991	11	22	0.68215	4.0362
1991	11	23	0.73078	4.0337
1991	12	0	0.70757	4.0145
1991	12	1	0.62839	4.0867
1991	12	2	0.45179	4.4346
1991	12	3	0.53148	4.4041
1991	12	4	0.45179	4.3282
1991	12	5	0.35603	4.1804
1991	12	6	0.29667	3.9120
1991	12	7	0.40654	4.0282
1991	12	8	0.29667	3.7108
1991	12	9	0.23045	3.5891
1991	12	10	0.15229	3.7643
1991	12	11	0.23045	4.0670
1991	12	12	0.23045	3.9992
1991	12	13	0.23045	3.7433
1991	12	14	0.23045	3.7699
1991	12	15	0.29667	3.8480
1991	12	16	0.23045	3.8231
1991	12	17	0.35603	4.6891
1991	12	18	0.38202	4.2946
1991	12	19	0.40654	4.2312
1991	12	20	0.45179	4.0756
1991	12	21	0.40654	3.9929
1991	12	22	0.45179	4.0304
1991	12	23	0.49415	4.0663
1991	13	0	0.49415	4.2185
1991	13	1	0.49415	4.1901
1991	13	2	0.49415	4.1716
1991	13	3	0.32634	3.9841
1991	13	4	0.15229	3.8008
1991	13	5	0.23045	4.0370
1991	13	6	0.32634	4.1710
1991	13	7	0.35603	4.1023
1991	13	8	0.29667	4.0567
1991	13	9	0.23045	4.0405
1991	13	10	0.23045	4.0742
1991	13	11	0.23045	4.0843
1991	13	12	0.29667	4.1252
1991	13	13	0.29667	4.2008
1991	13	14	0.29667	4.1916
1991	13	15	0.35603	4.1776
1991	13	16	0.45179	4.1993
1991	13	17	0.49415	4.2292
1991	13	18	0.56585	4.5674
1991	13	19	0.62839	4.3256
1991	13	20	0.62839	4.3051
1991	13	21	0.62839	4.2769
1991	13	22	0.70757	4.2443
1991	13	23	0.65610	4.2160
1991	14	0	0.62839	4.1995
1991	14	1	0.62839	4.1913
1991	14	2	0.62839	4.1817
1991	14	3	0.59770	4.1781
1991	14	4	0.56585	4.1628
1991	14	5	0.53148	4.1500
1991	14	6	0.49415	4.1320
1991	14	7	0.45179	4.1176
1991	14	8	0.49415	4.1085
1991	14	9	0.45179	4.1060
1991	14	10	0.40654	4.0961
1991	14	11	0.40654	4.0855
1991	14	12	0.40654	4.0517
1991	14	13	0.49415	4.0692
1991	14	14	0.45179	4.0730
1991	14	15	0.49415	4.0199
1991	14	16	0.49415	4.0114
1991	14	17	0.53148	4.0173
1991	14	18	0.53148	4.0297
1991	14	19	0.53148	4.0019
1991	14	20	0.53148	3.9910
1991	14	21	0.53148	3.9614
1991	14	22	0.53148	3.9514
